Date,close,Close,Open,High,Low,Volume,OpenInt
12/16/2013,41.39,413.9,40.879,41.492,40.777,1879034,0
12/17/2013,41.316,413.16,41.316,41.662,41.087,2091916,0
12/18/2013,42.249,422.49,41.316,42.279,40.847,3908002,0
12/19/2013,42.355,423.55,42.279,42.603,41.996,2136146,0
12/20/2013,42.717,427.17,42.355,42.964,42.099,3246225,0
12/23/2013,43.252,432.52,42.964,43.429,42.717,1955699,0
12/24/2013,43.787,437.87,43.398,43.862,43.327,1000617,0
12/26/2013,43.973,439.73,43.823,44.153,43.759,1276103,0
12/27/2013,44.067,440.67,44.185,44.256,43.925,1038013,0
12/30/2013,43.889,438.89,44.027,44.027,43.641,1064887,0
12/31/2013,43.965,439.65,44.067,44.256,43.751,1483602,0
1/2/2014,43.012,430.12,43.681,43.751,42.512,2901545,0
1/3/2014,43.315,433.15,43.09,43.488,42.811,2016043,0
1/6/2014,43.681,436.81,43.488,43.851,43.28,4126608,0
1/7/2014,44.027,440.27,43.751,44.185,43.681,4258240,0
1/8/2014,43.641,436.41,44.067,44.106,43.453,2168513,0
1/9/2014,43.527,435.27,43.713,43.889,43.052,1771098,0
1/10/2014,43.315,433.15,43.567,43.603,43.126,1326120,0
1/13/2014,44.106,441.06,43.315,44.398,43.204,6734440,0
1/14/2014,44.291,442.91,44.027,44.362,43.681,2304772,0
1/15/2014,44.756,447.56,44.256,44.98,44.256,1888976,0
1/16/2014,44.941,449.41,44.795,45.7,44.756,3390065,0
1/17/2014,44.067,440.67,44.862,44.941,43.925,2365060,0
1/21/2014,43.851,438.51,44.326,44.574,43.751,2217212,0
1/22/2014,43.567,435.67,44.067,44.432,43.28,4160655,0
1/23/2014,42.481,424.81,43.204,43.354,42.153,6489601,0
1/24/2014,40.603,406.03,41.835,42.229,40.024,9839797,0
1/27/2014,38.324,383.24,40.099,40.174,38.151,6950125,0
1/28/2014,39.303,393.03,38.973,39.481,38.76,6030004,0
1/29/2014,38.324,383.24,38.832,39.269,38.186,5054617,0
1/30/2014,39.918,399.18,38.544,40.099,38.512,7038948,0
1/31/2014,39.193,391.93,39.556,40.174,38.973,7964761,0
2/3/2014,37.603,376.03,39.303,39.481,37.422,5784637,0
2/4/2014,37.501,375.01,37.639,37.785,37.241,4423707,0
2/5/2014,37.201,372.01,37.422,37.713,37.057,3472675,0
2/6/2014,37.389,373.89,37.314,37.639,37.201,4825781,0
2/7/2014,37.603,376.03,37.537,37.887,37.422,6716828,0
2/10/2014,37.572,375.72,37.537,37.749,37.389,6291366,0
